Name,Range_km,Efficiency,Weight_kg,Acceleration(0-100),Firth_stop_range_km,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price_Euro
Smart #5 Brabus,460,209,2453,3.8,570,96.0,230,1600,677,133,60.9
BYD ATTO 2 64.8 kWh,305,190,1795,7.9,340,58.0,100,750,450,130,41.99
BYD DOLPHIN SURF 43.2 kWh Boost,270,160,1445,12.1,283,43.2,60,0,308,95,26.99
Kia EV4 Fastback 81.4 kWh,495,158,1900,7.7,518,78.0,105,1000,490,92,47.14
Ford Explorer Standard Range RWD,335,173,1996,8.0,353,58.0,85,1000,532,118,39.9
Hyundai IONIQ Electric,190,147,1495,9.9,225,28.0,65,0,350,173,33.3
Volkswagen ID.3 Pro,350,166,1815,7.3,378,58.0,82,0,385,125,39.995
Tesla Model X 100D,435,218,2533,4.9,434,95.0,100,2250,0,259,115.0
Hyundai IONIQ 5 63 kWh RWD,345,174,1955,8.5,423,60.0,150,750,577,128,43.9
Renault Megane E-Tech EV60 220hp,380,158,1719,7.4,404,60.0,80,900,440,101,40.99
Toyota bZ4X AWD 73.1 kWh,375,184,2095,5.1,413,69.0,110,1500,452,142,50.99
Opel Frontera Electric 54 kWh,290,184,1610,13.0,298,53.5,70,550,460,108,31.19
BMW i5 eDrive40 Sedan,470,173,2205,6.0,525,81.2,123,1500,490,166,70.2
Skoda Elroq 50,310,168,1946,9.0,351,52.0,90,1000,470,111,33.9
Zeekr 7X Privilege AWD,485,198,2535,3.8,625,96.0,260,2000,581,134,65.95
Skoda Enyaq 85,450,171,2137,6.7,467,77.0,120,1000,585,112,48.9
MG ZS EV,220,193,1566,8.2,220,42.5,50,0,448,141,31.99
Peugeot e-3008 97 kWh Long Range,500,194,2241,8.7,512,96.9,135,1200,588,106,52.85
Ford Mustang Mach-E ER RWD,480,190,2161,5.9,489,91.0,115,1500,619,120,58.5
MG Marvel R,365,192,1885,7.9,344,70.0,81,750,507,125,46.99
Dacia Spring Electric 70,165,145,1070,12.3,166,24.0,35,0,342,108,16.9
Audi Q8 SUV e-tron 55 quattro,505,210,2585,5.6,515,106.0,145,1800,631,171,87.3
Hyundai IONIQ 5 Long Range 2WD,370,189,1985,7.4,458,70.0,179,1600,588,130,45.9
XPENG G9 RWD Long Range,480,192,2365,6.4,619,92.2,330,1500,731,135,63.6
Toyota bZ4X AWD,345,186,2070,6.9,366,64.0,85,750,452,154,50.49
Changan Deepal S05 4WD Max,365,186,2115,5.5,428,68.0,130,1600,651,124,44.99
Zeekr 7GT Privilege AWD,515,186,2480,3.3,671,96.0,260,1600,488,115,60.45
Tesla Model X Plaid,465,204,2539,2.9,516,95.0,140,2250,608,280,125.97
BMW iX xDrive45,470,202,2525,5.1,490,94.8,115,2500,500,182,83.5
