Name,Range_km,Efficiency,Weight_kg,Acceleration(0-100),Firth_stop_range_km,Battery_kWh,Fast_charger(kW),Towing_kg,Cargo_volume,Price/Range(km),Price_Euro
Audi A6 Sportback e-tron quattro,570,166,2360,4.7,682,94.9,186,2100,529,144,79.8
Ford Explorer Extended Range RWD,450,176,2080,8.5,500,79.0,135,1200,536,103,48.5
Lucid Air Pure RWD,580,152,2145,4.7,668,88.0,150,0,910,151,85.9
Ford Mustang Mach-E ER AWD,440,207,2257,5.8,410,91.0,84,1000,619,165,69.7
Skoda CITIGOe iV,205,158,1235,12.3,188,32.3,29,0,250,110,24.534
Smart EQ forfour,95,176,1200,12.7,66,16.7,0,0,185,241,19.12
Audi Q4 e-tron 35,285,182,1990,9.0,324,52.0,90,1000,520,160,45.6
Lexus RZ 300e,355,180,2030,8.0,391,64.0,100,750,522,157,55.59
Fiat 500e 3+1 42 kWh,235,159,1400,9.0,257,37.3,65,0,185,146,36.99
Renault Zoe R110,250,164,1575,11.4,182,41.0,0,0,338,132,35.9
Volkswagen ID.3 Pro Performance,350,166,1805,7.3,369,58.0,75,0,385,104,36.495
Audi Q4 Sportback e-tron 45,435,177,2145,6.7,485,77.0,120,1000,535,128,54.95
BMW i7 M70 xDrive,490,208,2770,3.7,530,101.7,149,0,500,381,181.8
Porsche Taycan 4S,415,171,2215,4.0,518,71.0,171,0,491,273,114.559
Opel Astra Electric 58 kWh,345,161,1733,9.3,361,55.4,75,0,352,108,37.99
Tesla Model X Long Range Plus,480,204,2505,4.6,529,98.0,125,2250,0,199,90.99
Citroen e-C4 X 54 kWh,335,152,1652,9.1,362,50.8,79,0,510,107,34.8
Ford Mustang Mach-E SR RWD,365,186,2044,6.9,363,68.0,76,750,619,134,47.5
Mercedes-Benz EQE SUV 350 4MATIC,435,208,2560,6.6,468,90.6,141,1800,520,215,89.548
Volvo EX40 Twin Motor,385,205,2170,4.8,414,79.0,110,1800,441,164,59.59
CUPRA Born 150 kW - 59 kWh,360,164,1842,7.7,416,59.0,110,0,385,101,40.45
Peugeot e-308,300,169,1759,9.8,327,50.8,79,0,361,139,44.765
Polestar 2 Long Range Dual Motor,450,176,2183,4.5,501,79.0,110,1500,446,125,52.275
Volvo EC40 Twin Motor,400,198,2185,4.8,438,79.0,110,1800,435,150,61.29
Kia Soul EV,155,174,1565,11.2,162,27.0,40,0,281,199,28.89
Fiat 500e Hatchback 24 kWh,135,158,1255,9.0,153,21.3,40,0,185,198,30.99
Volvo XC40 Recharge Single Motor,340,194,2040,7.3,367,66.0,113,1500,441,144,47.5
Volvo EC40 Single Motor ER,420,188,2095,7.3,454,79.0,110,1500,435,137,57.19
Alfa Romeo Junior Elettrica 54 kWh Veloce,310,164,1635,6.0,330,50.8,79,0,400,156,48.5
Polestar 2 Standard Range Single Motor,405,165,2020,6.4,454,67.0,100,1500,448,120,48.99
Audi Q6 Sportback e-tron performance,510,186,2275,6.6,595,94.9,186,2000,575,144,71.2
Polestar 2 Standard Range Single Motor,395,167,2019,6.4,439,66.0,113,1500,446,121,46.275
Skoda Enyaq Coupe RS,450,171,2258,5.5,493,77.0,120,1200,570,140,63.3
Polestar 2 Long Range Performance,450,176,2180,4.2,501,79.0,110,1500,448,142,63.49
Volvo EX40 Twin Motor,385,205,2170,4.8,414,79.0,110,1800,441,151,59.59
Mercedes-Benz EQE 350 4MATIC,515,176,2475,5.9,564,90.6,141,1700,430,150,74.149
Citroen e-C4,280,165,1616,9.7,308,46.3,74,0,380,124,34.64
Mercedes-Benz EQB 350 4MATIC,340,196,2175,6.2,350,66.5,99,0,495,188,58.197
Dacia Spring Electric,160,156,1012,19.1,151,25.0,29,0,300,123,20.49
Audi SQ6 SUV e-tron,470,202,2425,4.3,550,94.9,186,2400,578,214,93.8
CUPRA Born 170 kW - 77 kWh,460,167,1965,7.0,512,77.0,125,0,385,99,47.25
Renault Megane E-Tech EV40 130hp,260,154,1588,10.0,272,40.0,49,500,440,151,42.0
Porsche Taycan GTS,450,186,2370,3.7,566,83.7,200,0,491,306,139.906
Ford Capri Extended Range AWD,445,173,2175,5.3,493,77.0,120,1800,572,119,55.4
Nissan Ariya e-4ORCE 87kWh - 225 kW,405,215,2259,5.7,391,87.0,80,1500,415,136,57.49
Kia EV6 Standard Range 2WD,305,177,1875,8.5,377,54.0,140,750,563,148,46.99
Mercedes-Benz EQS 450 4MATIC,605,178,2615,5.6,671,107.8,169,750,610,201,113.359
Lotus Emeya 600,520,190,2555,4.2,693,98.9,328,2250,543,204,107.99
Volkswagen ID.4 GTX,400,193,2224,6.2,425,77.0,103,1200,543,135,50.415
Mercedes-Benz EQB 250,385,173,2110,8.9,397,66.5,99,0,495,146,52.55
NIO ET7 Standard Range,415,177,2434,3.8,456,73.5,110,2000,363,201,81.9
Smart #5 Summit Edition,460,209,2445,4.9,570,96.0,230,1600,677,125,56.9
Kia e-Soul 64 kWh,370,173,1757,7.9,343,64.0,61,0,315,107,42.39
Hyundai IONIQ 5 Standard Range AWD,290,186,2015,6.1,359,54.0,140,0,555,158,45.9
SEAT Mii Electric,205,158,1235,12.3,188,32.3,29,0,251,116,24.65
Volkswagen ID.3 Pro S - 4 Seats,450,171,1935,7.9,479,77.0,103,0,385,123,56.5
Aiways U5,315,190,1795,7.5,313,60.0,75,0,496,128,39.563
Abarth 500e Hatchback,225,166,1410,7.0,246,37.3,65,0,185,158,37.99
Skoda Enyaq 60,335,173,1992,8.7,361,58.0,82,1000,585,133,44.2
Mercedes-Benz EQS SUV 450+,540,219,2730,6.8,559,118.0,160,750,645,219,110.801
Lightyear 0,550,109,1575,10.0,535,60.0,60,0,640,548,297.5
Aiways U6,350,171,1790,7.0,349,60.0,75,0,472,138,47.588
NIO EL6 Long Range,435,207,2398,4.5,471,90.0,135,1200,579,174,74.5
Volkswagen ID.7 Tourer Pro S,520,165,2235,6.7,589,86.0,145,1000,605,117,59.785
Renault Zoe R90,255,161,1555,13.5,182,41.0,0,0,338,122,33.2
Audi e-tron 55 quattro,365,237,2565,5.7,384,86.5,147,1800,722,222,80.9
Polestar 2 Standard Range Single Motor,345,177,2015,7.4,358,61.0,75,1500,440,133,45.5
Audi RS e-tron GT performance,525,185,2395,2.5,682,97.0,267,0,427,311,160.5
Zeekr X Core RWD,270,181,1930,5.9,299,49.0,80,1600,383,144,38.95
Mercedes-Benz EQE SUV 500 4MATIC,455,211,2610,4.9,482,96.0,141,1800,520,235,99.841
Opel Mokka-e 54 kWh,290,175,1598,9.0,306,50.8,79,0,310,144,44.72
Citroen e-Berlingo M 50 kWh,235,213,1811,11.7,246,50.0,80,750,775,160,36.94
BMW iX2 xDrive30,395,165,2095,5.6,429,65.2,95,1200,525,158,62.2
Skoda Enyaq 85x,440,175,2213,6.6,485,77.0,120,1200,585,122,51.15
Opel Astra Sports Tourer Electric 58 kWh,335,165,1765,9.5,351,55.4,75,0,516,115,39.49
Volvo EX40 Single Motor,345,194,2040,7.3,378,67.0,100,1500,441,141,49.99
Skoda Elroq RS,450,176,2229,5.4,508,79.0,135,1200,470,118,53.05
Audi Q8 Sportback e-tron 55 quattro,525,202,2585,5.6,543,106.0,145,1800,590,169,89.55
Toyota Proace City Verso L1 50 kWh,235,213,1811,11.7,246,50.0,80,750,775,167,38.83
Ford Capri Standard Range RWD,320,163,1914,9.0,357,52.0,85,1000,572,141,44.95
Audi S6 Sportback e-tron,555,171,2400,3.9,663,94.9,186,2100,529,187,99.5
Volvo ES90 Twin Motor Performance,535,191,2610,4.0,642,102.0,200,2000,468,178,94.49
Tesla Model X Long Range,435,218,2533,4.9,434,95.0,100,2250,0,216,91.0
NIO ET7 Long Range,505,178,2454,3.8,509,90.0,100,2000,363,183,90.9
Citroen C-Zero,85,171,1140,15.9,101,14.5,30,0,166,252,21.8
Mini Countryman SE ALL4,385,169,2075,5.6,405,65.2,86,1200,460,110,43.32
Ford Mustang Mach-E ER AWD,430,205,2257,5.8,401,88.0,84,750,619,154,63.7
Volkswagen ID.5 GTX,430,179,2242,5.5,477,77.0,120,1200,549,141,56.455
Fisker Ocean Extreme,490,217,2526,3.9,528,106.5,135,1820,476,132,63.59
Volvo C40 Recharge Single Motor,355,186,2065,7.3,383,66.0,113,1500,450,145,47.5
Opel Corsa Electric 50 kWh,290,160,1544,8.7,315,46.3,74,0,267,116,34.65
Lucid Air Touring,600,160,2337,3.6,698,96.0,160,0,910,169,99.9
BMW i5 xDrive40 Touring,450,180,2395,5.5,502,81.2,123,2000,570,179,77.6
Genesis G80 Electrified,490,184,2410,5.1,548,90.0,160,0,354,166,76.18
Porsche Taycan Turbo,415,202,2380,3.2,518,83.7,200,0,450,367,156.348
Ford Mustang Mach-E ER RWD,465,189,2160,7.0,436,88.0,84,750,619,120,54.475
Mercedes-Benz EQE 300,515,173,2385,7.3,556,89.0,120,750,430,144,66.402
Mercedes-Benz EQB 250+,410,172,2115,8.9,401,70.5,90,0,495,133,53.978
Lotus Emeya,520,190,2555,4.2,693,98.9,328,2250,543,209,106.4
Volvo EX90 Twin Motor Performance,465,219,2725,4.2,547,102.0,200,2200,703,226,101.29
Volkswagen e-Up!,100,160,1229,12.4,110,16.0,29,0,250,235,22.975
Mercedes-Benz EQA 300 4MATIC,350,190,2105,7.7,359,66.5,99,1800,340,170,53.746
XPENG G9 RWD Standard Range,395,192,2285,6.4,478,75.8,170,1500,731,150,59.6
BMW i5 M60 xDrive Sedan,430,189,2370,3.8,479,81.2,123,2000,490,249,99.5
Volkswagen e-Up!,95,168,1214,12.4,104,16.0,29,0,250,269,26.9
Polestar 3 Long Range Performance,480,223,2654,4.7,516,107.0,150,2200,516,194,92.19
Alpine A290 Electric 180 hp,310,168,1554,7.4,326,52.0,75,500,326,120,38.7
Volkswagen ID.5 GTX,445,178,2233,5.4,500,79.0,135,1800,549,128,58.755
Porsche Macan GTS Electric,465,204,2470,3.8,546,94.9,186,2500,560,227,104.2
Tesla Model S 70,340,196,2074,5.8,360,66.5,95,0,895,231,78.0
Peugeot iOn,85,171,1140,15.9,101,14.5,30,0,166,250,21.8
Genesis G80 Electrified Luxury,440,188,2325,4.9,507,82.5,160,0,354,170,69.2
BMW i4 xDrive40,490,166,2260,5.1,556,81.3,130,1600,470,132,63.0
Skoda Enyaq Coupe 60,370,159,2003,8.1,429,59.0,110,1000,570,124,46.85
Porsche Macan 4 Electric,470,202,2405,5.2,553,94.9,186,2500,624,182,84.6
Opel Combo-e Life 50 kWh,205,226,1739,11.7,219,46.3,74,750,571,198,43.05
TOGG T10X Long Range AWD,420,202,2283,4.8,444,85.0,115,0,441,117,49.2
Volvo C40 Recharge Twin Pure Electric,360,208,2185,4.7,373,75.0,97,1800,450,170,57.65
Porsche Taycan 4S Cross Turismo,510,190,2355,3.8,655,97.0,267,0,530,244,126.4
Genesis GV70 Electrified,385,208,2335,4.4,477,80.0,205,1800,528,190,70.23
NIO EL7 Long Range,430,209,2441,3.9,421,90.0,100,2000,570,224,94.9
Porsche Macan Turbo Electric,465,204,2480,3.3,550,94.9,186,2000,564,247,114.6
TOGG T10F Standard Range RWD,295,169,1998,7.2,372,50.0,70,0,505,116,34.295
Volvo EX90 Single Motor,425,207,2556,6.8,501,88.0,170,1500,703,208,85.99
Mercedes-Benz EQS SUV 580 4MATIC,485,224,2810,4.6,521,108.4,169,1800,645,323,135.434
Maserati Grecale Folgore,415,238,2555,4.1,413,98.6,110,1800,535,301,124.301
Ford Mustang Mach-E SR RWD,385,189,2166,6.2,408,72.6,100,750,619,132,55.8
Smart #5 Pro,370,201,2275,6.9,395,74.4,110,1600,702,126,45.9
Lotus Eletre 600,495,220,2565,4.5,597,109.0,246,2250,657,203,99.99
Nissan e-NV200 Evalia,105,210,1614,14.0,111,22.0,34,0,2000,332,37.602
Audi RS e-tron GT,400,209,2420,3.3,494,83.7,200,0,451,365,146.05
Mercedes-Benz EQS AMG 53 4MATIC+,585,202,2700,3.4,619,118.0,160,1700,620,294,155.009
Mitsubishi i-MiEV,85,171,1185,15.9,98,14.5,30,0,166,342,29.393
Tesla Model X P90D,375,228,2514,4.0,366,85.5,90,0,0,353,131.3
Citroen C-Zero,85,171,1140,15.9,101,14.5,30,0,166,328,29.393
Tesla Model S 90D,445,192,2184,4.4,443,85.5,90,0,895,222,98.0
Tesla Model S Performance,515,184,2307,2.8,546,95.0,110,0,894,193,96.99
Audi e-tron S Sportback,330,262,2730,4.5,348,86.5,147,1800,677,292,96.05
SsangYong Korando e-Motion,290,193,1840,8.5,277,56.0,68,1500,551,137,42.49
Porsche Macan 4S Electric,470,202,2420,4.1,553,94.9,186,2500,624,196,91.2
Skoda Enyaq Coupe iV RS,430,179,2253,6.5,462,77.0,103,1200,575,146,63.3
Citroen e-C4 X,290,160,1659,9.9,315,46.3,74,0,510,115,32.6
Genesis GV60 Performance,400,200,2230,4.0,496,80.0,205,1600,432,190,74.48
VinFast VF 6 Plus,310,192,2113,8.9,318,59.6,90,0,0,128,38.99
Porsche Macan Turbo Electric,465,204,2480,3.3,550,94.9,186,2500,564,250,115.5
Volkswagen ID.4 Pro 4MOTION,435,177,2233,6.6,477,77.0,120,1200,543,116,49.02
Mercedes-Benz EQT 200 Long,220,205,1944,13.3,221,45.0,50,1500,828,213,41.613
Abarth 600e Scorpionissima,280,181,1700,5.9,297,50.8,79,0,360,170,48.99
Nissan LEAF 24 kWh,125,176,1600,11.9,137,22.0,34,0,330,243,33.99
Smart #5 Pulse,465,206,2420,4.9,574,96.0,230,1600,677,120,55.4
Ford Mustang Mach-E SR RWD,380,191,2175,6.2,408,72.6,100,750,619,136,56.5
Ford Mustang Mach-E ER AWD,435,202,2245,4.8,441,88.0,105,1500,619,158,66.6
Opel Grandland Electric 73 kWh AWD,355,206,2290,6.1,374,73.0,90,1350,485,141,51.75
Peugeot e-308 SW 58 kWh,340,163,1783,9.5,354,55.4,75,0,505,115,43.435
e.GO e.wave X,150,180,1280,12.0,106,27.0,0,0,116,167,24.99
Audi S e-tron GT,540,180,2385,3.4,700,97.0,267,0,482,235,126.0
Zeekr X Privilege AWD,350,186,2035,3.8,386,65.0,101,1600,383,138,48.45
Mercedes-Benz eVito Tourer Long 90 kWh,310,290,2530,12.0,283,90.0,95,0,990,249,64.248
Dacia Spring Electric 65 Extreme,160,156,1035,13.7,149,25.0,29,0,300,150,24.55
Volkswagen ID. Buzz NWB GTX,360,219,2629,6.5,395,79.0,135,1800,1121,204,73.102
Nissan Micra Standard Range 40 kWh,260,154,1452,9.0,269,40.0,55,500,326,106,27.99
Lexus RZ 550e F SPORT,390,185,2135,4.4,425,72.0,110,0,522,198,78.7
Polestar 2 Long Range Performance,385,195,2188,4.4,402,75.0,97,1500,440,162,61.495
Peugeot e-408 58 kWh,350,167,1879,7.2,372,58.3,80,0,471,126,46.3
Fisker Ocean Ultra,500,213,2508,4.2,541,106.5,135,1820,476,118,58.9
Lotus Eletre R,455,240,2725,2.9,553,109.0,246,2250,657,326,151.99
Smart EQ fortwo cabrio,95,176,1125,11.9,66,16.7,0,0,260,286,25.2
Honda e Advance,170,168,1595,8.3,168,28.5,31,0,171,242,39.9
Audi e-tron S,320,270,2730,4.5,332,86.5,147,1800,722,294,93.8
Volkswagen ID.5 Pro Performance,430,179,2118,8.4,454,77.0,124,1000,549,128,48.97
Volvo EX40 Twin Motor Performance,385,205,2170,4.6,414,79.0,110,1800,441,163,62.89
Ford Mustang Mach-E GT,425,214,2348,3.7,433,91.0,115,750,619,187,77.3
Tesla Model S 60,345,180,2102,5.8,370,62.0,95,0,895,221,69.019
Audi Q4 Sportback e-tron 40,425,180,2120,8.5,453,76.6,124,1000,535,138,53.9
Lucid Air Dream Edition R,685,172,2435,2.9,788,118.0,185,0,910,321,218.0
Audi Q4 Sportback e-tron 45 quattro,410,188,2235,6.6,453,77.0,120,1200,535,142,56.95
Opel Combo Electric 50 kWh,235,213,1811,11.3,246,50.0,80,750,775,165,38.6
Mercedes-Benz EQE 300,525,170,2405,7.3,566,89.0,120,750,430,131,67.187
Mercedes-Benz EQE SUV 350 4MATIC,435,208,2565,6.0,468,90.6,141,1800,520,210,89.548
Fiat 500e Cabrio 42 kWh,230,162,1405,9.0,250,37.3,65,0,185,148,37.99
Mercedes-Benz EQA 350 4MATIC,350,190,2105,6.0,359,66.5,99,1800,340,177,56.424
Volvo XC40 Recharge Twin Pure Electric,335,224,2188,4.9,342,75.0,97,1800,450,172,59.25
Mercedes-Benz EQE SUV 350 4MATIC,425,209,2580,6.6,453,89.0,120,1800,520,230,89.548
Tesla Model X Performance,430,221,2552,2.9,448,95.0,110,2250,0,250,102.99
Renault Megane E-Tech EV60 130hp,380,158,1699,10.5,404,60.0,80,500,440,111,47.0
Peugeot e-2008 50 kWh,270,171,1623,9.9,292,46.3,74,0,434,142,39.0
Ford Mustang Mach-E SR RWD,380,191,2179,7.3,404,72.6,100,750,619,141,55.8
Porsche Taycan 4S Plus,565,172,2325,3.7,738,97.0,267,0,491,218,126.422
DS Automobiles N°4 E-Tense,350,167,1867,7.1,372,58.3,80,0,390,122,45.9
Toyota Proace City Verso L2 50 kWh,230,217,1881,11.7,242,50.0,80,750,1050,179,40.25
Volvo EC40 Twin Motor Performance,400,198,2185,4.6,438,79.0,110,1800,435,159,64.39
Mercedes-Benz EQT 200 Standard,225,200,1867,12.6,225,45.0,50,1500,551,200,39.623
Skoda Enyaq Coupe RS,470,168,2239,5.4,534,79.0,135,1200,570,129,60.85
Cadillac LYRIQ-V,400,228,2745,3.3,392,91.0,100,1587,588,249,99.64
Mercedes-Benz EQE SUV 500 4MATIC,455,211,2615,4.7,482,96.0,141,1800,520,222,99.841
Cadillac OPTIQ 500 E4,365,205,2376,6.7,359,75.0,90,680,443,178,65.0
Volkswagen ID.4 Pure Performance,285,182,1965,9.0,301,52.0,70,1000,543,154,39.955
Mercedes-Benz EQE SUV 500 4MATIC,435,208,2560,4.9,468,90.6,141,1800,520,262,99.841
Volkswagen ID.3 Pro S - 4 Seats,455,169,1933,7.9,499,77.0,120,0,385,108,47.595
Smart #3 Pro+,355,175,1855,5.8,383,62.0,90,1600,385,120,43.49
Audi Q4 e-tron 45 quattro,395,195,2235,6.6,437,77.0,120,1200,520,142,54.95
Tesla Model S Standard Range,420,173,2183,4.2,416,72.5,80,0,894,201,86.8
Mercedes-Benz EQS 580 4MATIC,590,183,2620,4.3,654,107.8,169,750,610,267,141.705
Citroen e-Jumpy Combi M 75 kWh,265,260,2131,13.3,252,69.0,77,1000,507,217,57.94
Ford Mustang Mach-E ER AWD,440,207,2257,5.8,410,91.0,84,1500,619,169,77.2
Volvo EC40 Single Motor,360,186,2057,7.3,394,67.0,100,1500,435,150,54.39
Cadillac VISTIQ 900 E4,375,243,2899,4.1,365,91.0,100,2000,297,290,108.809
Peugeot e-208 51 kWh,305,158,1530,8.2,329,48.1,76,0,265,133,41.85
Peugeot e-5008 73 kWh Dual Motor,355,206,2406,6.5,374,73.0,90,1000,348,178,62.5
Lotus Emeya 900,465,213,2650,2.8,611,98.9,328,1225,543,320,145.99
Lotus Eletre 900,455,240,2725,2.9,553,109.0,246,2250,657,327,145.99
Volvo C40 Recharge Pure Electric,335,200,2045,7.4,358,67.0,113,1500,450,151,48.85
Kia EV9 76.1 kWh RWD,350,209,2387,8.5,414,73.0,160,900,423,174,61.99
Volvo EC40 Twin Motor,400,198,2185,4.8,438,79.0,110,1800,435,160,61.29
Porsche Taycan Turbo GT Weissach,475,204,2295,2.2,610,97.0,267,0,451,496,240.0
Mini Aceman JCW,280,176,1825,6.4,294,49.2,75,750,300,170,43.15
Nissan Ariya e-4ORCE 87kWh - 320 kW Nismo,385,226,2277,5.0,373,87.0,80,0,415,165,63.99
Opel Mokka-e,255,182,1598,9.0,273,46.3,74,0,310,135,34.11
Mercedes-Benz EQA 250+,420,168,2045,8.6,414,70.5,90,750,340,129,52.205
Volkswagen ID.7 GTX,500,172,2325,5.4,572,86.0,145,1200,532,137,63.155
Audi Q4 Sportback e-tron 40,340,174,2035,8.1,395,59.0,110,1000,520,148,48.15
Kia e-Niro 39 kWh,235,167,1667,9.8,215,39.2,37,0,451,159,38.29
XPENG P7 Wing Edition,455,182,2255,4.1,512,82.7,135,0,440,155,69.6
Skoda Enyaq iV 50,305,170,1937,11.3,271,52.0,45,0,585,131,39.9
Porsche Taycan 4S Cross Turismo,420,199,2320,4.1,520,83.7,200,0,530,269,114.222
Renault Kangoo Grand E-Tech Electric,220,205,1992,13.3,218,45.0,50,1500,500,183,40.25
Audi e-tron 55 quattro,365,237,2595,5.7,384,86.5,147,1800,722,213,79.445
Skoda Enyaq Coupe 85,460,167,2140,6.7,484,77.0,120,1000,570,114,51.15
Smart #1 Pro,250,188,1855,6.7,280,47.0,65,0,338,147,37.49
Peugeot e-Rifter M 50 kWh,235,213,1830,11.7,246,50.0,80,750,775,166,38.44
Audi Q6 Sportback e-tron quattro,500,190,2400,5.9,585,94.9,186,2400,575,160,77.1
Ford e-Tourneo Custom L2 210 kW,235,272,2602,8.0,245,64.0,105,2000,819,326,76.517
VinFast VF 8 Plus Extended Range,400,219,2595,5.5,411,87.7,105,1800,376,144,58.89
GWM ORA 03 GT,325,182,1655,8.2,300,59.3,54,0,228,115,37.49
Mercedes-Benz EQE 500 4MATIC,505,179,2490,4.7,555,90.6,141,1700,430,177,88.215
Porsche Taycan GTS,535,181,2360,3.3,693,97.0,267,0,450,273,147.7
Hyundai IONIQ 5 Project 45,365,192,2095,5.2,451,70.0,179,1600,555,159,59.55
Mercedes-Benz EQE 500 4MATIC,505,179,2490,4.4,553,90.6,141,1700,430,176,84.764
Opel Mokka Electric GSE,280,181,1672,5.9,297,50.8,79,0,310,157,47.3
ORA Funky Cat 48 kWh,260,175,1615,8.3,247,45.4,45,0,228,146,38.99
Smart #3 Pro,265,177,1855,5.9,297,47.0,65,0,385,142,38.49
Mercedes-Benz EQE AMG 53 4MATIC+,450,201,2540,3.5,491,90.6,141,1700,430,267,110.706
Porsche Macan 4S Electric,470,202,2420,4.1,553,94.9,186,2000,624,196,90.7
GWM ORA 07 GT,430,194,2210,4.5,389,83.5,80,0,333,124,53.49
Skoda Enyaq Coupe 85x,460,167,2234,6.7,511,77.0,120,1200,570,121,53.4
Volkswagen ID. Buzz NWB Pure,265,223,2367,10.7,301,59.0,110,1000,1121,189,49.998
Lucid Gravity Touring,460,193,2597,4.2,547,89.0,180,1600,1663,220,99.9
Volkswagen ID.3 Pro S - 5 Seats,450,171,1928,7.9,479,77.0,103,0,385,98,43.72
Mercedes-Benz EQE AMG 43 4MATIC,455,199,2525,4.2,490,90.6,136,750,430,236,103.827
Ford Mustang Mach-E ER RWD,480,190,2160,7.0,448,91.0,84,1500,619,138,71.2
Mercedes-Benz EQS 500 4MATIC,590,184,2630,4.8,654,108.4,169,750,620,229,125.378
CUPRA Born 170 kW - 58 kWh,345,168,1824,6.6,365,58.0,75,0,385,116,40.75
Smart #1 Pure,250,188,1855,6.7,280,47.0,65,0,338,135,34.99
Polestar 2 Long Range Dual Motor,455,174,2183,4.5,509,79.0,110,1500,448,127,56.99
Toyota Proace Verso M 50 kWh,180,257,2027,12.1,189,46.3,74,1000,603,276,44.23
BMW i5 M60 xDrive Touring,425,191,2425,3.9,475,81.2,123,2000,570,257,101.5
Ford Mustang Mach-E GT,435,209,2343,3.8,441,91.0,115,750,619,168,78.0
Audi e-tron Sportback 55 quattro,380,228,2555,5.7,399,86.5,147,1800,677,217,81.639
Lucid Air Pure RWD,530,158,2145,4.7,615,84.0,140,0,910,163,85.0
Tesla Model S P90D,405,211,2271,3.3,401,85.5,90,0,895,316,124.2
Smart #1 Pulse,325,191,1975,4.5,350,62.0,90,1600,328,137,46.49
Hyundai Kona Electric 39 kWh,245,160,1610,9.7,221,39.2,37,0,332,135,34.6
Mercedes-Benz eVito Tourer Long 41 kWh,120,292,2260,16.0,85,35.0,0,0,990,453,54.395
Fiat 500e Cabrio 24 kWh,135,158,1281,9.0,150,21.3,40,0,185,248,35.49
Peugeot iOn,85,171,1140,15.9,101,14.5,30,0,166,328,29.393
NIO ET5 Touring Standard Range,400,184,2265,4.0,434,73.5,110,1400,450,154,59.5
Ford Mustang Mach-E ER RWD,480,190,2160,7.0,489,91.0,115,1500,619,126,58.5
Mercedes-Benz eVito Tourer Long 90 kWh,325,277,2561,12.1,299,90.0,96,0,990,241,72.043
Mercedes-Benz EQE 350 4MATIC,515,176,2475,6.3,570,90.6,141,1700,430,148,74.149
KGM Musso EV 2WD,365,221,2265,9.2,357,80.6,100,1800,907,118,41.99
Mercedes-Benz EQS SUV 500 4MATIC,530,223,2840,5.3,543,118.0,160,1800,645,257,124.545
Volkswagen e-Transporter Kombi L2 100 kW 64 kWh,250,255,2348,12.8,250,63.8,75,2000,1000,252,63.725
Volkswagen ID.5 Pro Performance,430,179,2117,8.4,459,77.0,124,1000,549,122,47.55
Citroen e-Jumpy Combi XL 75 kWh,265,260,2161,13.3,252,69.0,77,1000,912,222,58.73
Mercedes-Benz EQE SUV AMG 43 4MATIC,425,213,2600,4.3,460,90.6,141,1800,520,301,124.92
Abarth 500e Convertible,225,166,1435,7.0,243,37.3,65,0,185,171,40.99
NIO EL6 Standard Range,365,201,2378,4.5,388,73.5,110,1200,579,183,65.5
DS Automobiles DS 3 Crossback E-Tense,255,182,1598,8.7,276,46.3,74,0,350,150,38.69
Kia e-Soul 64 kWh,370,173,1757,7.9,343,64.0,61,0,315,113,36.837
Tesla Model X Standard Range,355,204,2427,4.8,346,72.5,80,2250,0,252,91.7
Peugeot e-3008 73 kWh Dual Motor,365,200,2337,6.0,388,73.0,90,1350,588,166,60.0
Maserati GranCabrio Folgore,395,210,2415,2.8,489,83.0,190,0,151,530,206.713
Opel Zafira-e Life M 75 kWh,265,260,2131,13.3,252,69.0,77,1000,0,256,69.25
Porsche Taycan Plus,475,176,2205,5.4,592,83.7,200,0,491,200,94.123
Zeekr 001 Privilege AWD,480,196,2410,3.8,521,94.0,135,2000,569,150,71.95
Citroen e-SpaceTourer M 75 kWh,265,260,2211,14.2,252,69.0,77,1000,603,213,52.23
BMW i5 xDrive40 Sedan,465,175,2345,5.4,525,81.2,123,2000,490,169,75.6
Genesis GV60 Pure,425,188,2050,7.8,522,80.0,205,1600,432,138,54.68
Ford e-Tourneo Custom L1 160 kW AWD,265,268,2500,9.0,266,71.0,105,2000,672,271,71.698
Toyota Proace Verso L 75 kWh,265,260,2161,13.1,252,69.0,77,1000,989,269,65.385
Smart ForFour Electric Drive,95,176,1200,12.7,66,16.7,0,0,185,232,22.6
Porsche Taycan 4S Plus,460,182,2295,4.0,575,83.7,200,0,491,245,114.389
Mercedes-Benz EQS 350,540,168,2390,6.6,601,90.6,141,750,610,175,97.806
DS Automobiles DS 3 Crossback E-Tense,265,175,1598,8.7,285,46.3,74,0,350,149,39.44
Peugeot e-Traveller L3 75 kWh,265,260,2240,14.2,252,69.0,77,1000,989,225,53.23
Tesla Model S 60D,345,180,2183,5.4,376,62.0,95,0,895,238,74.719
Jaguar I-Pace EV320,380,223,2244,6.4,354,84.7,83,750,505,186,75.351
Mercedes-Benz EQS SUV 450 4MATIC,490,221,2805,6.0,521,108.4,169,1800,645,267,114.609
Smart EQ fortwo coupe,100,167,1085,11.5,71,16.7,0,0,260,221,21.94
Ford Mustang Mach-E ER AWD,440,207,2257,5.8,447,91.0,115,1500,619,158,65.9
Mercedes-Benz EQE SUV 350+,475,202,2495,6.4,503,96.0,141,750,520,185,86.811
Mercedes-Benz EQS AMG 53 4MATIC+,540,200,2655,3.4,591,107.8,169,750,610,320,155.009
Opel Grandland Electric 82 kWh,420,196,2195,9.0,433,82.2,100,1200,550,122,51.95
Audi Q6 Sportback e-tron,410,185,2200,7.0,485,75.8,150,2000,575,167,65.9
