Lat_degrees,Long_degrees,Depth,Type,Magnituda,Is_Shallow,Mag_Level
37.428,-4.62,10,origin,2.0,1,safe
4.1,97.4,3,origin,2.5,1,safe
-31.57,-69.39,118,origin,2.8,0,safe
37.044,-2.356,5,origin,1.8,1,safe
39.178,28.289,14,origin,2.2,1,safe
39.172,28.287,15,origin,1.9,1,safe
7.74,-83.269,6,origin,3.0,1,safe
27.957,-14.937,0,origin,1.7,1,safe
19.504,-65.433,47,origin,3.4,1,dangerous
39.367,28.011,7,origin,1.4,1,safe
38.962,15.571,178,origin,2.1,0,safe
-32.942,149.161,20,origin,,1,
-32.981,149.158,19,origin,,1,
37.994,36.558,7,origin,1.0,1,safe
37.977,36.53,4,origin,1.3,1,safe
-6.17,104.8,33,origin,2.5,1,safe
18.039,-66.782,16,origin,2.1,1,safe
-46.164,166.816,10,origin,5.2,1,very deangerous
-46.15,166.48,51,origin,5.0,1,dangerous
-46.232,166.487,42,origin,4.9,1,dangerous
-46.23,166.49,23,mt,4.6,1,dangerous
-46.604,166.615,10,origin,5.2,1,very deangerous
-0.87,127.48,11,origin,2.5,1,safe
57.291,-154.944,53,origin,2.1,1,safe
19.207,-64.117,39,origin,3.4,1,dangerous
39.212,28.171,8,origin,1.3,1,safe
39.231,28.182,10,origin,1.4,1,safe
25.97,96.17,65,origin,3.5,1,dangerous
40.212,31.751,3,origin,2.1,1,safe
40.16,31.773,7,origin,1.9,1,safe
37.894,29.402,7,origin,1.2,1,safe
37.873,29.393,13,origin,1.2,1,safe
60.193,-152.377,92,origin,2.3,0,safe
39.124,28.195,6,origin,1.1,1,safe
39.184,28.262,10,origin,1.2,1,safe
-2.1,140.85,10,origin,3.1,1,dangerous
42.787,-1.5,0,origin,1.6,1,safe
12.368,44.957,11,origin,2.9,1,safe
-23.69,-67.15,245,origin,4.1,0,dangerous
-23.906,-66.459,106,origin,3.7,0,dangerous
36.127,27.151,13,origin,1.7,1,safe
36.073,27.113,7,origin,1.6,1,safe
-32.01,-71.68,28,origin,2.7,1,safe
57.939,-155.976,119,origin,2.1,0,safe
46.19,7.393,0,origin,1.0,1,safe
2.06,96.51,11,origin,2.7,1,safe
34.378,-97.388,3,origin,2.5,1,safe
4.15,97.51,10,origin,3.0,1,safe
36.357,36.042,9,origin,1.1,1,safe
38.386,15.534,80,origin,2.1,0,safe
38.282,38.744,12,origin,1.0,1,safe
39.192,28.288,8,origin,1.3,1,safe
39.24,28.266,10,origin,1.3,1,safe
13.99,45.563,11,origin,,1,
19.525,-104.068,27,origin,3.1,1,dangerous
-3.15,135.7,10,origin,2.5,1,safe
17.404,-101.597,3,origin,3.7,1,dangerous
36.629,-5.312,0,origin,1.6,1,safe
37.099,30.572,7,origin,1.6,1,safe
37.072,30.641,9,origin,1.5,1,safe
-8.99,111.17,13,origin,2.6,1,safe
38.74,39.653,7,origin,1.0,1,safe
37.374,-8.564,20,origin,2.3,1,safe
32.098,-101.924,3,origin,2.7,1,safe
32.106,-101.912,4,origin,2.7,1,safe
39.228,28.145,10,origin,1.7,1,safe
39.223,28.153,11,origin,1.5,1,safe
39.756,38.809,14,origin,0.9,1,safe
58.287,-156.059,157,origin,2.2,0,safe
24.5,92.52,29,origin,3.3,1,dangerous
39.232,28.121,7,origin,1.3,1,safe
2.16,96.64,5,origin,2.5,1,safe
36.673,36.101,9,origin,2.6,1,safe
36.738,36.106,7,origin,2.6,1,safe
37.046,30.504,7,origin,1.8,1,safe
37.704,35.41,7,origin,3.0,1,safe
37.667,35.437,5,origin,3.1,1,dangerous
-3.51,135.52,81,origin,2.6,0,safe
17.204,-94.917,129,origin,3.7,0,dangerous
61.731,-149.832,18,origin,2.3,1,safe
41.277,83.26,13,origin,4.5,1,dangerous
41.133,83.279,10,origin,4.1,1,dangerous
39.174,28.154,13,origin,1.1,1,safe
39.172,28.161,7,origin,1.0,1,safe
4.13,97.46,5,origin,3.1,1,dangerous
32.111,-101.915,5,origin,2.8,1,safe
32.108,-101.918,9,origin,2.8,1,safe
32.106,-101.915,5,origin,2.9,1,safe
15.448,-94.929,16,origin,4.0,1,dangerous
-20.26,-69.29,80,origin,2.5,0,safe
19.463,-154.869,0,origin,2.2,1,safe
37.734,36.57,7,origin,1.0,1,safe
-10.8,121.09,9,origin,2.9,1,safe
4.542,97.903,10,origin,4.0,1,dangerous
4.509,97.742,10,origin,4.1,1,dangerous
