Rank,Score,Name,Acedemik Reputation,Students,Citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_faculty_ratio,sustainability_score,international_research_network
"
                     =587
                     
                        
                     
                  ",28.6,Université Paul Sabatier Toulouse III,24.6,33.2,36.4,45.5,4.4,9.3,6.9,50.4,98.1
"
                     =591
                     
                        
                     
                  ",28.5,American University of Ras Al Khaimah,8.4,100,48.6,37.6,9.5,4.4,100,25.3,15.3
"
                     =591
                     
                        
                     
                  ",28.5,Bond University,5.9,90.4,53.8,52.1,8.3,11.6,63.5,23.5,24.6
"
                     =591
                     
                        
                     
                  ",28.5,Illinois Institute of Technology,16.9,99.7,47.5,15.8,23.3,22.5,18.7,32.5,27.3
"
                     =591
                     
                        
                     
                  ",28.5,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),10.3,93.3,11.2,99.3,20.9,17.6,60.6,23,30.2
"
                     =595
                     
                        
                     
                  ",28.4,Universidade Federal de Minas Gerais (UFMG),45.4,2.5,11.8,21.1,16.9,50.9,9,48.2,67.6
"
                     =595
                     
                        
                     
                  ",28.4,Zayed University,19.8,2.8,21.8,34.7,31.7,29.3,100,41.1,48.5
"
                     =597
                     
                        
                     
                  ",28.3,Asia Pacific University of Technology and Innovation (APU) Malaysia,17.3,100,2.9,74.2,23.7,5.3,95.6,39,14.1
"
                     =597
                     
                        
                     
                  ",28.3,Hasselt University ,8.8,41.1,22.8,85.7,5.2,6.6,78.5,62.7,69.8
"
                     =597
                     
                        
                     
                  ",28.3,Management and Science University,25.1,100,3.2,55.3,20.9,5.3,99.6,36.8,10.8
=597,28.3,Taipei Medical University (TMU),16.9,22,32.3,94.2,14.7,11.9,20,48.1,24.7
=597,28.3,Tulane University,14.5,18.5,17.5,87.2,13.8,46.2,20.3,51.8,79.2
=597,28.3,University of Szeged,26.2,56.4,8.9,41.9,22.7,29,15.4,69.4,75.3
=597,28.3,University of Texas at Dallas,19.3,61.1,43,5.5,33.7,9.1,14.4,48.9,55.3
=604,28.2,Canadian University Dubai,22.7,100,7,40.3,29.7,18.1,100,17.6,18.8
=604,28.2,National Chengchi University,28.3,36.2,3.4,21.2,46.9,93.3,38,41.4,12.8
=604,28.2,University of Eastern Finland,18.9,12,35.3,45,10.3,5.6,39.2,71.2,84
=607,28,"The University of Tennessee, Knoxville",14.3,4.6,69.3,12.9,11.7,25.2,6.9,54.8,68.6
=607,28,University of Siena,21.4,19.7,60.2,15.3,7.8,12.3,4.6,63.4,61.2
=609,27.9,Nottingham Trent University,16.4,90.4,10.7,15.5,22.9,20.4,67.1,77.5,84.8
=609,27.9,Peter the Great St. Petersburg Polytechnic University,18,89.8,4.9,79.8,17.8,11.1,18.9,51.6,70.4
"
                     =609
                     
                        
                     
                  ",27.9,Ulster University,12.6,90.1,19,11.4,19.8,10.1,100,75.6,71.5
"
                     =609
                     
                        
                     
                  ",27.9,Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),17.2,19,57.9,23.6,9.9,5.2,32.1,51.4,61.6
"
                     =613
                     
                        
                     
                  ",27.8,Applied Science University - Bahrain,26.6,62.3,4.5,51.6,29.4,11.9,100,23.9,12.3
"
                     =613
                     
                        
                     
                  ",27.8,City University of New York,25.3,8.3,6.4,14.3,59.4,31.3,8.4,55.4,92.9
"
                     =613
                     
                        
                     
                  ",27.8,International Islamic University Malaysia (IIUM),36,69,6.2,17.9,27.3,32.3,29.1,32,58.6
"
                     =613
                     
                        
                     
                  ",27.8,Universidad de Concepción,36.8,2.6,12.3,20.2,34,16.9,14.5,69.5,64.1
"
                     =613
                     
                        
                     
                  ",27.8,University of Plymouth,13.8,61.4,36.7,15.4,14.2,13.8,61.3,58.6,82.1
"
                     =618
                     
                        
                     
                  ",27.7,Christian-Albrechts-University zu Kiel,24.4,15.1,20.9,56.7,14.6,24.5,n/a,59.2,92.4
"
                     =618
                     
                        
                     
                  ",27.7,Dongguk University ,12.8,52.3,29.9,76.3,18,6.7,22.9,56.5,36.2
"
                     =618
                     
                        
                     
                  ",27.7,Saint Joseph University of Beirut (USJ),13.4,40.7,4.2,62.3,38.2,40.8,94.3,35,30.2
"
                     =618
                     
                        
                     
                  ",27.7,Zhengzhou University,7.1,4.1,82.7,7,23.8,11.4,n/a,42.3,62.3
"
                     =622
                     
                        
                     
                  ",27.6,Umm Al-Qura University,23.6,26.1,4.9,61.3,15.4,11.5,100,36.8,71.3
"
                     =622
                     
                        
                     
                  ",27.6,University of New Brunswick,7.1,65.1,41.1,22.2,17.9,24.7,67.5,62.7,51.1
"
                     =624
                     
                        
                     
                  ",27.5,Diponegoro University,30,7.1,2.3,30.5,53.2,24.2,46.4,51,35.5
"
                     =624
                     
                        
                     
                  ",27.5,Oregon State University,19.7,11.9,44.4,20.4,11.9,28.8,17.3,64.1,80.3
"
                     =624
                     
                        
                     
                  ",27.5,University of the Basque Country,28.6,6.3,27.8,38.4,10.8,31.2,3,51.5,90.1
"
                     =624
                     
                        
                     
                  ",27.5,Yeshiva University,3.8,27.7,72.8,62.7,4.6,4.9,36.4,36.4,15.3
"
                     =628
                     
                        
                     
                  ",27.4,Abai Kazakh National Pedagogical University (Abai University),31.7,13.5,1.3,71.2,34.9,16.6,55.4,35.6,9
"
                     =628
                     
                        
                     
                  ",27.4,Istanbul University,33.3,20.6,5.1,4.5,43,78.8,7,37.5,70.5
"
                     =628
                     
                        
                     
                  ",27.4,Missouri University of Science and Technology,4.9,32.5,87.7,8.6,10.5,8.8,26.9,34,41.7
"
                     =628
                     
                        
                     
                  ",27.4,National Chung Hsing University,28.6,14,22.5,29.4,30.9,42.2,12.3,56.3,34.5
"
                     =628
                     
                        
                     
                  ",27.4,Universidade de Santiago de Compostela,33.9,11.8,27.6,17.5,16,20,3,62.4,77.3
"
                     =628
                     
                        
                     
                  ",27.4,University of Crete,19.3,7.2,69.6,3.9,17.8,4.5,2.7,40.6,61.9
"
                     =628
                     
                        
                     
                  ",27.4,University of South Carolina,17.7,5.9,37.1,13.5,21.9,28,54.6,68.9,68
"
                     =635
                     
                        
                     
                  ",27.2,Tallinn University of Technology (TalTech),16.2,26.8,23.5,33.5,18.6,50.5,53.2,43,81.2
"
                     =635
                     
                        
                     
                  ",27.2,University of Portsmouth,10.9,90.7,27.8,12,13.1,13.5,80.1,62.6,81.5
"
                     =635
                     
                        
                     
                  ",27.2,Saarland University,14,62.3,12.1,96.3,10.1,41.8,6.3,31.9,70.4
"
                     =638
                     
                        
                     
                  ",27.1,Lincoln University College,11.1,100,1.8,95.6,26,5.3,100,12.5,5.2
"
                     =638
                     
                        
                     
                  ",27.1,Southern Cross University,6,62.6,55.5,3.9,4.3,6.2,92.7,65.9,61.1
"
                     =638
                     
                        
                     
                  ",27.1,Universidad de Zaragoza,29.7,10.2,15.6,54.6,9.9,14.8,2.3,69.7,89.2
"
                     =638
                     
                        
                     
                  ",27.1,"University of Chemistry and Technology, Prague",8.2,85.4,19.2,99.5,12.2,9.4,33.7,43.4,32
"
                     642
                     
                        
                     
                  ",27,Université de Fribourg,13.6,52.5,27.3,14.1,5.5,49.6,99.9,66.8,60.4
"
                     =643
                     
                        
                     
                  ",26.9,Abo Akademi University,9.5,43.6,53.9,22.1,7.9,13.5,60.7,45.2,59.8
"
                     =643
                     
                        
                     
                  ",26.9,Free University of Bozen-Bolzano,7.8,56.3,62.4,20.6,3.1,4,66.1,37.4,51.9
"
                     =643
                     
                        
                     
                  ",26.9,Inha University,17.5,25.7,23.8,74.7,19.9,17.1,17.7,64.7,28.1
"
                     =643
                     
                        
                     
                  ",26.9,Manchester Metropolitan University,18.8,61.4,16.8,11.4,16.4,19.2,63.1,78,89
"
                     =643
                     
                        
                     
                  ",26.9,University of Manitoba,19.2,68.4,22.6,31.8,20,39.5,n/a,55.7,70
"
                     =648
                     
                        
                     
                  ",26.8,King Faisal University,25.3,11,6.3,24.5,29.8,14.9,99.4,54.3,66
"
                     =648
                     
                        
                     
                  ",26.8,University of Tromsø The Arctic University of Norway,15.5,12.9,12,82.5,7.9,9.3,75.9,51.4,80.8
"
                     =650
                     
                        
                     
                  ",26.7,MGIMO University,10.7,57.2,1.7,100,38.7,69.8,15.4,21.7,6.7
"
                     =650
                     
                        
                     
                  ",26.7,Paris Lodron University of Salzburg,13.3,98.1,11.6,38.7,4.8,23.7,98.4,62.2,59.1
"
                     =650
                     
                        
                     
                  ",26.7,Universidad de la República (Udelar),40,4.1,2.3,18.2,20.4,90.6,10.7,43.3,63.2
"
                     =650
                     
                        
                     
                  ",26.7,University of Brescia,7.3,8.5,85,8.7,4.1,11.6,2,63.9,58.8
"
                     =654
                     
                        
                     
                  ",26.6,China University of Mining and Technology,4.3,n/a,87.2,25.5,6.4,16.3,n/a,39.2,55.5
"
                     =654
                     
                        
                     
                  ",26.6,De La Salle University,32.7,3.5,6.8,9.6,58.6,60.7,2.8,44.1,27.3
"
                     =654
                     
                        
                     
                  ",26.6,Konkuk University ,11.6,43.9,34.1,61.3,12.8,14.7,16.2,61.8,52.5
"
                     =654
                     
                        
                     
                  ",26.6,"University of Agriculture, Faisalabad ",7.3,1.2,83.4,2.2,14.6,3.1,2.6,48.4,75.3
"
                     =654
                     
                        
                     
                  ",26.6,University of South Florida,17.4,41.4,36.7,13.8,20.4,13.5,14.3,66.4,81.9
"
                     =654
                     
                        
                     
                  ",26.6,Université de Lille,33.9,25.4,27,6.1,10.6,6.9,21,54.3,94.2
"
                     =660
                     
                        
                     
                  ",26.5,Bar-Ilan University,11,4.9,59.4,10.4,14.3,33.1,54.4,41.7,53.2
"
                     =660
                     
                        
                     
                  ",26.5,Ca' Foscari University of Venice,27.1,18.6,20.7,10.1,21.7,20,44,74,68.2
"
                     =660
                     
                        
                     
                  ",26.5,"Kingston University, London",20.7,95.8,12.7,7.2,24.6,16.4,77.3,49.5,52
"
                     =660
                     
                        
                     
                  ",26.5,Memorial University of Newfoundland,10.7,78.5,43.7,15.7,10.5,17.4,30.7,53.3,73.6
"
                     =664
                     
                        
                     
                  ",26.4,COMSATS University Islamabad,17,1.6,36.8,17,35.8,8.3,1.4,62.7,87.3
"
                     =664
                     
                        
                     
                  ",26.4,Indian Institute of Technology Hyderabad (IITH),10.3,1.9,84,20.2,15,6.5,1.3,42.3,18
"
                     =664
                     
                        
                     
                  ",26.4,University of Mumbai,11.3,4.3,53.7,4.7,31.5,91,3,41.3,27.6
"
                     =664
                     
                        
                     
                  ",26.4,University of Oklahoma,14.3,9.8,41.5,19.8,18.6,35.2,27.8,60.5,72.3
"
                     =668
                     
                        
                     
                  ",26.3,"Birla Institute of Technology and Science, Pilani",18,4,39.3,12.4,32.6,55,2.9,58.8,41.8
"
                     =668
                     
                        
                     
                  ",26.3,Chang Gung University,9.3,9.5,58.2,74.6,6.6,2.1,7.9,48.8,25.5
"
                     =668
                     
                        
                     
                  ",26.3,Karl-Franzens-Universitaet Graz,26.8,38.6,13.6,18.9,13.1,44,53.4,52.7,70.3
"
                     =668
                     
                        
                     
                  ",26.3,Lehigh University,7.2,40,37.1,30.5,12.4,45.4,68.9,61.5,44.9
"
                     =668
                     
                        
                     
                  ",26.3,Palacký University Olomouc,21.5,28.5,14.7,36.5,19.8,9,40.1,67.5,85.8
"
                     =673
                     
                        
                     
                  ",26.2,East China University of Science and Technology,9.1,2.5,82.5,15.4,10.3,12.5,3.3,40.2,43.5
"
                     =673
                     
                        
                     
                  ",26.2,Stevens Institute of Technology,4,98.7,60.9,8.4,10,13.5,54.1,46.7,21.7
"
                     =673
                     
                        
                     
                  ",26.2,TU Dortmund University,18.5,36.7,11.1,42.7,35.5,12.5,32.3,43,76.5
"
                     =676
                     
                        
                     
                  ",26.1,Beirut Arab University ,20,61.1,7.6,28.8,22.2,44.1,94.8,42.1,29.6
"
                     =676
                     
                        
                     
                  ",26.1,Jadavpur University,23.2,1.1,55.8,13.7,10.5,19.5,n/a,61.4,44
"
                     =678
                     
                        
                     
                  ",26,American University in Dubai,14.4,100,3.8,26.2,38.3,45.6,100,25.4,4.3
"
                     =678
                     
                        
                     
                  ",26,University of Haifa,17.4,6.7,44.8,15.8,13,29.6,17.8,67.4,69.6
"
                     =680
                     
                        
                     
                  ",25.9,HUFS - Hankuk (Korea) University of Foreign Studies ,17.6,70.5,2.5,85.2,25.5,3.6,40.1,51.5,14.1
"
                     =680
                     
                        
                     
                  ",25.9,Nanjing University of Aeronautics and Astronautics,6.3,8.8,79.7,26.4,10.9,1.3,7.2,37,46.2
"
                     =680
                     
                        
                     
                  ",25.9,Ritsumeikan University,25.7,17.8,5,10.3,61.5,4.8,36.5,64.4,41.1
"
                     =680
                     
                        
                     
                  ",25.9,Universitas Brawijaya ,30.1,2.7,1.9,20.4,55.3,29.1,35.9,53.3,27.3
"
                     =684
                     
                        
                     
                  ",25.8,Comenius University Bratislava,16.8,39,6.9,61.3,14.7,87,8.4,43.7,68.8
"
                     =684
                     
                        
                     
                  ",25.8,Ton Duc Thang University,6.1,2,74.8,8.6,13.3,6.8,7.7,43.9,88.1
"
                     =686
                     
                        
                     
                  ",25.7,"China University of Petroleum, Beijing",3.1,5.2,94.5,10.7,6.8,26.2,7.2,35.3,26.4
"
                     =686
                     
                        
                     
                  ",25.7,Cyprus University of Technology,8.1,42,39.8,49.3,4.9,11.3,68.1,49.6,46.6
"
                     =688
                     
                        
                     
                  ",25.6,Baku State University,22,7,1.9,94,20.1,64.1,13.4,43.3,22.1
"
                     =688
                     
                        
                     
                  ",25.6,National Research Tomsk Polytechnic University,9.4,88.8,7,96,15.4,2,14.8,47.7,60.4
"
                     =688
                     
                        
                     
                  ",25.6,Université Côte d'Azur,21.6,51,27.7,9.1,8.2,13.6,36.5,69.2,83.3
"
                     =691
                     
                        
                     
                  ",25.4,Eastern Mediterranean University,9.2,100,31.3,5.6,4.5,53.6,77.1,45.4,51.3
"
                     =691
                     
                        
                     
                  ",25.4,Universidade Federal do Rio Grande Do Sul,36.8,2.4,15.7,20,9.2,32.3,3.8,63.9,80.5
"
                     =691
                     
                        
                     
                  ",25.4,Universität Regensburg,16,17.7,13.3,77.3,11.9,27.7,39.4,38.7,71
"
                     =691
                     
                        
                     
                  ",25.4,"Vellore Institute of Technology (VIT), Vellore, India",20.5,5.3,34.3,11.6,26,15.8,5,65.2,81.2
"
                     695
                     
                        
                     
                  ",25.3,Rensselaer Polytechnic Institute,10.2,34.4,54.7,28.7,17.9,41.3,n/a,38.7,25.8
"
                     696
                     
                        
                     
                  ",25.2,Symbiosis International (Deemed University),9.2,16.1,3.3,26.5,94.7,8.9,23.3,45.6,29.4
"
                     696
                     
                        
                     
                  ",25.2,TUHH Hamburg University of Technology,11.2,93.4,10,84.8,14.6,1.4,35.7,30,47.8
"
                     =697
                     
                        
                     
                  ",25.1,Ankara Üniversitesi,30.6,9.7,4.6,12.8,30.4,61.2,2.8,61,74
"
                     =697
                     
                        
                     
                  ",25.1,Beijing University of Chemical Technology,6.1,2.5,81.5,28.6,7.2,2.8,3.2,40.5,36.6
"
                     =697
                     
                        
                     
                  ",25.1,Kazakh National Agrarian Research University (KazNARU),22.8,39.2,1.4,92.6,27.7,4.3,26.2,38.7,7.7
"
                     =697
                     
                        
                     
                  ",25.1,Tokyo Medical and Dental University (TMDU),15.7,22.6,29.1,100,9.5,1.8,3.1,37.5,23.3
"
                     =697
                     
                        
                     
                  ",25.1,Universidad de Alcalá (Madrid),13.8,50.9,10.8,72.5,10.2,11.8,11.8,72.1,79.4
"
                     =697
                     
                        
                     
                  ",25.1,University of Klagenfurt,7.2,94.8,16.4,57.4,5.8,13.6,98.2,36.3,43.9
"
                     =697
                     
                        
                     
                  ",25.1,"University of Missouri, Columbia",17.2,6.4,23.5,38.5,15.7,48,29.7,50.9,71.8
"
                     701-710
                     
                        
                     
                  ",n/a,Jeonbuk National University,19.9,16.5,21.4,73.7,14.2,3.5,12.5,64.6,34
"
                     701-710
                     
                        
                     
                  ",n/a,Kasetsart University,37.4,1.7,4.6,10.3,37.1,31.2,7.7,60.8,46.2
"
                     701-710
                     
                        
                     
                  ",n/a,"Lingnan University, Hong Kong",16,99.6,22.3,19.3,12.5,5,100,47,10.6
"
                     701-710
                     
                        
                     
                  ",n/a,Nanjing University of Science and Technology,7,n/a,86.1,14.6,8.5,6.4,n/a,39.4,38.2
"
                     701-710
                     
                        
                     
                  ",n/a,Shiraz University,10.2,4.3,68.3,6,10.9,23.4,1.2,45.7,68.1
"
                     701-710
                     
                        
                     
                  ",n/a,Universidad Panamericana (UP),15.9,5,1.7,81.2,34.4,73.5,24.5,36.2,14.3
"
                     701-710
                     
                        
                     
                  ",n/a,University of Central Florida,18.6,7.7,33,4.1,37.1,17.4,13.2,45.9,73.7
"
                     701-710
                     
                        
                     
                  ",n/a,University of Zagreb,23.2,5.1,8.1,26.8,12.8,98.4,1.9,60.9,92.1
"
                     711-720
                     
                        
                     
                  ",n/a,Asia University Taiwan,9,6,79.9,5.1,2.8,2.1,14.5,36.6,64.2
"
                     711-720
                     
                        
                     
                  ",n/a,Budapest University of Technology and Economics,20.8,22.7,15.3,18.6,37.5,37.8,4.6,57.9,60
"
                     711-720
                     
                        
                     
                  ",n/a,Drexel University,8.9,37.4,36.9,30.2,11.2,35.3,31.3,48.7,68.8
"
                     711-720
                     
                        
                     
                  ",n/a,"Goldsmiths, University of London",18.3,97.8,17,20.8,7.5,25.2,89.1,43,22.7
"
                     711-720
                     
                        
                     
                  ",n/a,ISCTE-IUL,8.6,55.8,42.4,3.2,19,40.3,27.1,56.7,49.8
"
                     711-720
                     
                        
                     
                  ",n/a,ITMO University,12.7,44.5,11,92.6,17.4,3.9,27.2,26.6,60.1
"
                     711-720
                     
                        
                     
                  ",n/a,Technische Universität Braunschweig,14.4,50.9,9.7,69.9,21.9,19.3,n/a,47.4,66.1
"
                     711-720
                     
                        
                     
                  ",n/a,Toronto Metropolitan University (formerly Ryerson University),12.5,19.6,41,2.3,19.4,20.1,46.5,66,60.9
"
                     711-720
                     
                        
                     
                  ",n/a,University of Hohenheim,9.1,38.4,45.4,19.6,11.1,7.7,31.8,55,74.1
"
                     711-720
                     
                        
                     
                  ",n/a,University of Nebraska - Lincoln,14.3,12.1,37.7,23.8,11.5,17.5,27.1,63.8,79.6
"
                     711-720
                     
                        
                     
                  ",n/a,Université de Rennes 1,21.3,19,36.7,15.6,11,9.8,15.9,49.4,86.9
"
                     721-730
                     
                        
                     
                  ",n/a,National University of Uzbekistan named after Mirzo Ulugbek,29.7,6.8,1.9,7.5,38.9,30.4,92.9,43.5,21.3
"
                     721-730
                     
                        
                     
                  ",n/a,Pakistan Institute of Engineering and Applied Sciences (PIEAS),7.4,n/a,66,62.8,15.1,3.8,n/a,10.4,19
"
                     721-730
                     
                        
                     
                  ",n/a,Prince Sattam Bin Abdulaziz University,6.4,15.5,19.6,69.3,3.1,3,99.6,36.3,93.6
"
                     721-730
                     
                        
                     
                  ",n/a,Taras Shevchenko National University of Kyiv,21.9,3.7,3.9,30.7,50.1,72,1.7,37.9,37.6
"
                     721-730
                     
                        
                     
                  ",n/a,Temple University,16.8,11.6,24.6,37.9,15,38.7,4.4,72.1,64.7
"
                     721-730
                     
                        
                     
                  ",n/a,The National University of Science and Technology MISIS,7.2,67.4,21,76.8,15.5,25.1,10.7,37.5,43.7
"
                     721-730
                     
                        
                     
                  ",n/a,University of Cincinnati,15.1,23.7,31.9,24.8,12.3,47.9,6.2,63.2,66.9
"
                     721-730
                     
                        
                     
                  ",n/a,University of Patras,16.8,9.2,44.3,4.2,25.7,4.7,2.3,65.3,66.2
"
                     721-730
                     
                        
                     
                  ",n/a,UWE Bristol (University of the West of England),10.6,88.9,25.2,8.9,15.1,4.2,66.1,53.3,72.4
"
                     731-740
                     
                        
                     
                  ",n/a,Auezov South Kazakhstan University (SKU),21.2,29.3,1.1,91.6,33.9,4.1,20.1,35.3,5
"
                     731-740
                     
                        
                     
                  ",n/a,Far Eastern Federal University,13.9,79.3,2.6,98.7,9.5,7.1,16.7,37.5,48
"
                     731-740
                     
                        
                     
                  ",n/a,"National Institute of Technology, Tiruchirappalli",4.1,3.5,89.5,10.6,5.3,8.8,n/a,37.4,38.2
"
                     731-740
                     
                        
                     
                  ",n/a,Princess Nourah bint Abdulrahman University,18.3,31.3,7.2,28.7,24.1,2.8,83.8,49.8,74.6
"
                     731-740
                     
                        
                     
                  ",n/a,SEGi UNIVERSITY,6.7,100,2.1,91.2,12.6,9.4,94.9,30.7,6.6
"
                     731-740
                     
                        
                     
                  ",n/a,"Sofia University ""St. Kliment Ohridski""",16,15.6,3.1,55,25.2,88.6,4,49.4,55.7
"
                     731-740
                     
                        
                     
                  ",n/a,Texas Tech University,14.5,17.4,18.8,10,26.9,28.1,63.8,66.1,70.6
"
                     731-740
                     
                        
                     
                  ",n/a,Universidad Central de Venezuela,28.9,2,1.4,41.5,45.3,57.5,3.3,36.3,13.3
"
                     731-740
                     
                        
                     
                  ",n/a,Université de Tunis El Manar,15.8,16.7,9.2,39.9,6.2,61.3,61.9,56.7,82.5
"
                     731-740
                     
                        
                     
                  ",n/a,Yildiz Technical University,13.4,27.8,26,5.6,43.2,26.7,9.5,63.7,55.4
"
                     741-750
                     
                        
                     
                  ",n/a,Aberystwyth University,12.8,42,23.9,27.6,11.5,11,61.3,63.1,63.3
"
                     741-750
                     
                        
                     
                  ",n/a,"Adam Mickiewicz University, Poznań",24.1,15.6,8.8,45.7,12.3,15.8,10.9,63.6,88.7
"
                     741-750
                     
                        
                     
                  ",n/a,Brandeis University,12.8,83.4,25,50.2,9.7,30.5,33,28.8,24.7
"
                     741-750
                     
                        
                     
                  ",n/a,Kaunas University of Technology,15.1,40,17.5,37.9,22,29,4.8,58.9,68.6
"
                     741-750
                     
                        
                     
                  ",n/a,Plekhanov Russian University of Economics,15.5,26.7,3.3,57.8,30.1,55.2,4.1,42.4,61.2
"
                     741-750
                     
                        
                     
                  ",n/a,Shahid Beheshti University (SBU),11.8,24.7,49.4,6,22.5,24.2,5.2,33.6,68
"
                     741-750
                     
                        
                     
                  ",n/a,Syracuse University,17,45.5,17,16.1,18.3,58,25.2,60.9,56.7
741-750,n/a,The Catholic University of Korea (CUK),7.9,52.9,31,97.4,6,1.9,4.7,44.8,14.3
741-750,n/a,University of Baghdad,18.1,1.2,2.5,31.1,41.2,85.6,2.8,43.4,69
741-750,n/a,University of Malta,9.3,42.2,10.1,47.7,7.4,98.1,33.1,38.2,76.8
741-750,n/a,University of Messina (UniME),12.6,17.8,55.5,18.6,2.9,1.6,1.4,61.5,78.6
741-750,n/a,University of Pecs,20.1,77.3,5,52.3,20.1,12.8,12.8,53.7,42.4
741-750,n/a,Victoria University,9.2,74.6,48.7,3.4,10.1,9.7,23.6,59.3,48.9
741-750,n/a,Vytautas Magnus University,14,70.8,5,44.2,19.9,26.8,46.8,47,62.8
751-760,n/a,Martin-Luther-Universität Halle-Wittenberg,15.1,17,11.2,89.4,9.9,6.3,n/a,47.1,86.5
751-760,n/a,University of New Mexico,14.2,7.1,20.4,57.3,16.9,11.4,11,53.8,83.6
"
                     751-760
                     
                        
                     
                  ",n/a,University of Oregon,23.2,5.4,25.3,14.7,22.5,36.9,10.5,55.7,53.8
"
                     751-760
                     
                        
                     
                  ",n/a,University of Trieste,16.1,16.8,53.8,5.5,7.8,18.7,11.6,36.4,70.8
"
                     751-760
                     
                        
                     
                  ",n/a,Université de Lorraine,19.2,40,24.7,8.6,5,22.3,40.5,54.5,95.6
"
                     761-770
                     
                        
                     
                  ",n/a,Al-Ahliyya Amman University,17.1,100,6.4,15.8,21,6,93.7,38.2,32.7
"
                     761-770
                     
                        
                     
                  ",n/a,Babes-Bolyai University,21.9,7.1,8,8.7,34.9,35.9,18.9,65,83.9
"
                     761-770
                     
                        
                     
                  ",n/a,Bangladesh University of Engineering and Technology,21.3,n/a,30.8,15.6,42.5,29.9,n/a,30,23
"
                     761-770
                     
                        
                     
                  ",n/a,Czech University of Life Sciences in Prague,11.6,82.5,22.3,13.7,8.7,5,36,72.5,85.4
"
                     761-770
                     
                        
                     
                  ",n/a,"Government College University, Faisalabad",4.2,1.1,72.2,7.6,7.1,33.5,1.3,32.2,77.6
"
                     761-770
                     
                        
                     
                  ",n/a,Jamia Millia Islamia,13,10.7,47.7,40.1,5.6,6.3,4.2,49.7,60.5
"
                     761-770
                     
                        
                     
                  ",n/a,Kaohsiung Medical University,8.4,7.4,58.6,46.9,6,4.1,11.2,51.7,26.1
"
                     761-770
                     
                        
                     
                  ",n/a,Khoja Akhmet Yassawi International Kazakh-Turkish University,19.1,45.5,1.3,57.5,46.3,10.7,27.8,30.1,4.1
"
                     761-770
                     
                        
                     
                  ",n/a,New Jersey Institute of Technology (NJIT),7.5,65.4,40.6,13.2,19.8,10.4,36,54.2,37.7
"
                     761-770
                     
                        
                     
                  ",n/a,Riga Technical University,12.6,84.9,6,31.7,31.9,40.5,22.1,47.6,38.2
"
                     761-770
                     
                        
                     
                  ",n/a,University of Belgrade,23.6,7.4,10.1,6.5,14,98.4,3.6,52.1,94.5
"
                     761-770
                     
                        
                     
                  ",n/a,University of Bucharest,21.1,4.8,8.3,9,35.9,67.9,3.5,60.8,72.3
"
                     761-770
                     
                        
                     
                  ",n/a,University of Nizwa,11,26.2,13,47.5,12.8,73.5,100,19,26.1
"
                     761-770
                     
                        
                     
                  ",n/a,"Vietnam National University, Hanoi",24.3,1.3,4.3,9.2,33,68.7,6.6,69.4,68.3
"
                     771-780
                     
                        
                     
                  ",n/a,Holy Spirit University of Kaslik ,11.1,52.2,3.8,70.4,20.7,7.3,99.4,38,9.6
"
                     771-780
                     
                        
                     
                  ",n/a,Maynooth University,16.6,32.2,21,14.2,13.1,16.3,91.2,52.3,45.1
"
                     771-780
                     
                        
                     
                  ",n/a,Philipps-Universität Marburg ,16.3,31.9,39.6,7.4,15.1,8.9,19,47.6,65.9
"
                     771-780
                     
                        
                     
                  ",n/a,Rutgers University–Newark,13.7,44.8,26,26.1,14.2,44.6,31.2,61.2,26.9
"
                     771-780
                     
                        
                     
                  ",n/a,Thapar Institute of Engineering & Technology,4,4.7,71.2,14.3,9.3,11.6,17.1,58.5,33.7
"
                     771-780
                     
                        
                     
                  ",n/a,Universidad de Palermo (UP),15.8,94.3,1.1,96,16,10.1,42,n/a,3.6
"
                     771-780
                     
                        
                     
                  ",n/a,Universitat Rovira i Virgili,9.5,28.4,48,19.9,4.5,1.8,9.8,65,82.2
"
                     771-780
                     
                        
                     
                  ",n/a,University of Calcutta,19.7,1.3,33.9,7.7,11.1,61.6,31.3,34.4,57
"
                     781-790
                     
                        
                     
                  ",n/a,Alexandria University ,32.7,13.6,3.5,7.2,24.2,33,1.9,56.6,80.7
"
                     781-790
                     
                        
                     
                  ",n/a,Carleton University,15.6,56.9,18.6,7.3,16.8,43.1,17.6,61.1,74.9
"
                     781-790
                     
                        
                     
                  ",n/a,Georgia State University,14.8,18.9,33.2,6,29.1,29,6.6,47.3,64.6
"
                     781-790
                     
                        
                     
                  ",n/a,Hong Kong Metropolitan University,26.5,92.9,9.7,4.2,7.1,29.3,90.3,36.6,11.2
"
                     781-790
                     
                        
                     
                  ",n/a,Kuwait University,20.9,32,5.5,9.4,17.5,97.1,24.1,58.3,55.1
"
                     781-790
                     
                        
                     
                  ",n/a,Technological University Dublin,17.7,63.7,6.1,18,22.4,22.6,49.8,58.7,53.7
"
                     781-790
                     
                        
                     
                  ",n/a,Universidad de Antioquia,39.7,n/a,7.1,5.9,24.1,26.7,4.9,45.5,55.7
"
                     781-790
                     
                        
                     
                  ",n/a,Universidad del Rosario,23.8,5.8,4.4,35.1,32.7,48.5,9.8,58.2,31.2
