Rank,Score,Name,Acedemik Reputation,Students,Citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_faculty_ratio,sustainability_score,international_research_network
"
                     40
                     
                        
                     
                  ",85.5,University of British Columbia,99.6,79.8,70.9,34.7,96.5,84.9,98.5,98.5,96.6
"
                     41
                     
                        
                     
                  ",85.4,Institut Polytechnique de Paris,58.1,99.2,97.3,94.8,99.8,99.1,99.9,77.9,93
"
                     =42
                     
                        
                     
                  ",85.1,Northwestern University,92.2,67.2,71.2,99.1,89.4,99.5,57.7,74.4,86.5
"
                     =42
                     
                        
                     
                  ",85.1,The University of Queensland,94.3,100,94.2,26.5,79.5,66.6,100,92.5,97
"
                     44
                     
                        
                     
                  ",84.8,The Hong Kong University of Science and Technology,89.4,99.3,100,67.5,69.7,76.6,100,79.7,49.5
"
                     45
                     
                        
                     
                  ",84.7,University of Michigan-Ann Arbor,99.3,56.1,54.5,85.7,98.5,99.1,73.9,77.2,96
"
                     46
                     
                        
                     
                  ",84.4,"University of California, Los Angeles (UCLA)",100,31.8,84.3,43.6,100,98,50.8,78,93.5
"
                     =47
                     
                        
                     
                  ",84.3,Delft University of Technology,86.2,94.8,84.6,49.1,90.4,66,100,96.3,93.8
"
                     =47
                     
                        
                     
                  ",84.3,Shanghai Jiao Tong University,92.7,19.1,100,64.5,93.8,88.2,40.9,82.5,77.7
"
                     49
                     
                        
                     
                  ",84,Zhejiang University,87,23.5,100,53,97.2,74.4,94.1,63,94
"
                     50
                     
                        
                     
                  ",82.9,Yonsei University,91.6,74.3,67.9,84.3,97.8,94.4,30.5,87.7,78
"
                     51
                     
                        
                     
                  ",82.5,University of Bristol,87.3,95.7,83.2,36.7,89.4,63.1,90.7,97,95.3
"
                     52
                     
                        
                     
                  ",82.3,Carnegie Mellon University,80.1,98.7,98.6,51.1,94.4,79.9,52.4,66.2,79.2
"
                     53
                     
                        
                     
                  ",81.5,University of Amsterdam,92.5,95.8,87.2,27.5,72.6,90.3,98.8,64,95.1
"
                     54
                     
                        
                     
                  ",81.2,The Hong Kong Polytechnic University,81.2,98.8,98.7,77.1,47.5,74.1,100,80.8,82.8
"
                     55
                     
                        
                     
                  ",81.1,New York University (NYU),98.6,99.7,31.7,89,99.9,99.5,33.1,91.3,93.5
"
                     56
                     
                        
                     
                  ",80.5,The London School of Economics and Political Science (LSE),80.6,100,64,47.2,99.4,99.9,100,92.7,76.4
"
                     57
                     
                        
                     
                  ",80.2,Kyoto University,99.7,29.2,50.9,94.3,99.3,85.9,22.9,84,85.5
"
                     =58
                     
                        
                     
                  ",80.1,Ludwig-Maximilians-Universität München,97.1,53.2,62.3,41,95.5,76.8,80.3,87,95.5
"
                     =58
                     
                        
                     
                  ",80.1,Universiti Malaya (UM),92.3,86.8,47.4,74.2,96.7,77.7,69.2,84.7,92.9
"
                     60
                     
                        
                     
                  ",79.7,KU Leuven,93,65.1,94.7,9.6,63.5,83.5,95.8,94.7,99.5
"
                     61
                     
                        
                     
                  ",79.6,Korea University,89.2,64,68.2,77,95.4,93.6,24.5,85.9,67.7
"
                     62
                     
                        
                     
                  ",79,Duke University,92.9,62,47.1,100,91,95.6,28.3,77.6,90.8
"
                     =63
                     
                        
                     
                  ",78.9,City University of Hong Kong (CityUHK),75.5,100,100,94.8,46.7,48.5,100,75.2,64.5
"
                     =63
                     
                        
                     
                  ",78.9,National Taiwan University (NTU),97.7,59.2,70.9,38.8,94.2,100,25.3,88.4,67.1
"
                     65
                     
                        
                     
                  ",77.5,The University of Auckland,91.7,95.5,79.1,17.6,55.2,96.9,100,95.7,88.8
"
                     66
                     
                        
                     
                  ",76.9,"University of California, San Diego (UCSD)",94,47,80.3,54.4,80.2,40.8,43.8,72.3,94
"
                     67
                     
                        
                     
                  ",76.5,KFUPM,53.5,76.2,93.2,92.4,75.6,97.8,100,62.7,81
"
                     68
                     
                        
                     
                  ",76.4,University of Texas at Austin,97.6,19.1,85.4,10.7,96.8,93.9,9.1,70.6,90.5
"
                     69
                     
                        
                     
                  ",76.2,Brown University,72.4,67,82.2,84.5,64.3,81.9,91,72.6,80.1
"
                     =70
                     
                        
                     
                  ",75.9,University of Illinois Urbana-Champaign,91.7,70.1,81.6,8.6,91.5,92.5,14.2,75.9,91.3
"
                     =70
                     
                        
                     
                  ",75.9,Université Paris-Saclay,75.3,72.7,42.4,99.9,99.4,82.9,45.9,92.7,98.5
"
                     =72
                     
                        
                     
                  ",75.7,Lund University,80.1,82,56.6,68.1,64.1,96.1,98.8,98.8,97.1
"
                     =72
                     
                        
                     
                  ",75.7,Sorbonne University,93.2,66.8,68.8,56.4,62.1,84.2,35.5,89.2,99.4
"
                     74
                     
                        
                     
                  ",75.2,The University of Warwick,82.7,99.2,43.6,48.3,93,75.3,99.5,84.6,93.8
"
                     75
                     
                        
                     
                  ",73.9,"Trinity College Dublin, The University of Dublin",82.5,94.9,66,28.7,68.1,95.3,100,73.8,89.4
"
                     76
                     
                        
                     
                  ",73.8,University of Birmingham,81.1,93.4,56.1,49.9,75.7,54.7,96.7,92.8,96.3
"
                     77
                     
                        
                     
                  ",73.7,The University of Western Australia,69,100,99.2,15.1,56.5,82.6,100,83.7,93.2
"
                     78
                     
                        
                     
                  ",73.6,KTH Royal Institute of Technology,60.2,81.8,88.2,68.3,62.1,72.7,95.6,89.8,91.7
"
                     79
                     
                        
                     
                  ",73.4,University of Glasgow,88.3,99.1,44.8,50.3,73.5,44.5,98,95.4,97
"
                     80
                     
                        
                     
                  ",73,Universität Heidelberg,87.1,71.4,41.4,99.8,72.2,34.6,66.2,85.5,94.7
"
                     81
                     
                        
                     
                  ",72.7,University of Washington,90.1,45.8,69.2,49.2,74.8,79.9,14.7,74.9,95
"
                     =82
                     
                        
                     
                  ",72.6,Adelaide University,78.3,97.5,69.8,30.5,62.7,70.4,100,86.1,96.7
"
                     =82
                     
                        
                     
                  ",72.6,Pennsylvania State University,86.1,38.2,67.2,29.1,85.8,79.2,37.4,95.4,97.4
"
                     84
                     
                        
                     
                  ",72.3,Universidad de Buenos Aires (UBA),98.1,78.5,2.3,82,95.8,99.9,72.3,66.1,75.8
"
                     85
                     
                        
                     
                  ",72.1,Tokyo Institute of Technology (Tokyo Tech),85,43.4,54.2,87.6,95.7,33.5,29.8,74.2,67.8
"
                     86
                     
                        
                     
                  ",72,University of Leeds,81.8,96.3,48.8,39.7,82.1,62.9,89.7,76.4,99.2
"
                     87
                     
                        
                     
                  ",71.2,University of Southampton,62.6,98.6,87.8,40.1,55.9,58.6,96.8,95.1,97.4
"
                     =88
                     
                        
                     
                  ",71.1,Boston University,75.3,92.8,61.9,40.6,86.7,86.9,40,73.7,84.9
"
                     =88
                     
                        
                     
                  ",71.1,Freie Universitaet Berlin,88.3,56,84.3,8.3,66.4,46.9,73.8,65.4,94.4
"
                     =88
                     
                        
                     
                  ",71.1,Purdue University,74.3,55.3,62.4,16.4,92.7,81,96.4,88.4,91
"
                     91
                     
                        
                     
                  ",71,Osaka University,90.5,21.1,65.8,45.6,90,51.4,25.2,79.5,72
"
                     92
                     
                        
                     
                  ",70.9,The University of Sheffield,73,98,68.4,50.3,61.7,47.9,81.6,94.3,96.8
