WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,T_AVG,IS_RAINIY,IS_FROST
3.75,0.0,0.0,0.0,0.32342007434944237,0.0,0.5491525423728814,0.4072847682119205,0.197860962566845,0.0,1.0
8.25,0.0,0.0,0.0,0.2825278810408922,0.0,0.5627118644067797,0.5596026490066225,0.1176470588235295,0.0,0.0
16.38,0.0,0.06865671641791044,0.0,0.33085501858736066,0.0,0.5627118644067797,0.5496688741721854,0.18716577540106963,1.0,0.0
8.17,0.0,0.01044776119402985,0.0,0.412639405204461,0.0,0.5966101694915255,0.6225165562913907,0.251336898395722,1.0,0.0
13.08,0.0,0.04776119402985075,0.0,0.3680297397769517,0.0,0.48135593220338985,0.43377483443708603,0.3689839572192514,1.0,1.0
21.17,0.0,0.03134328358208955,0.0,0.5427509293680298,0.0,0.5661016949152542,0.509933774834437,0.4866310160427809,1.0,0.0
12.75,0.0,0.04626865671641791,0.0,0.37918215613382905,0.0,0.5525423728813559,0.5132450331125827,0.27272727272727276,1.0,0.0
14.75,0.0,0.014925373134328358,0.0,0.3977695167286246,0.0,0.5186440677966102,0.49999999999999994,0.35294117647058826,1.0,0.0
10.25,0.0,0.01044776119402985,0.0,0.47583643122676583,0.0,0.6644067796610169,0.6423841059602649,0.2352941176470589,1.0,0.0
10.88,0.0,0.0,0.0,0.4572490706319703,0.0,0.6338983050847458,0.619205298013245,0.25668449197860965,0.0,0.0
11.29,0.0,0.0,0.0,0.4572490706319703,0.0,0.4915254237288136,0.42384105960264895,0.48128342245989314,0.0,1.0
6.21,0.0,0.0,0.0,0.4423791821561339,0.0,0.4847457627118644,0.4933774834437085,0.47058823529411775,0.0,0.0
5.5,0.0,0.0,0.0,0.6431226765799256,0.0,0.3898305084745763,0.37086092715231783,0.9090909090909093,0.0,1.0
2.83,0.0,0.0,0.0,0.5390334572490707,0.0,0.535593220338983,0.519867549668874,0.5294117647058826,0.0,0.0
3.63,0.0,0.0,0.0,0.550185873605948,0.0,0.5932203389830508,0.5529801324503311,0.45454545454545464,0.0,0.0
